MAIOR PILHA, TEMPO, MMOSP
8, 0.197, 8.796875
9, 0.145, 9.756944444444445
8, 0.362, 8.7265625
8, 0.247, 8.7421875
8, 0.188, 8.8203125
7, 0.318, 7.776785714285714
8, 0.133, 8.7265625
8, 0.156, 8.671875
7, 0.212, 7.821428571428571
7, 0.106, 7.714285714285714
7, 0.222, 7.803571428571429
8, 0.269, 8.734375
7, 0.352, 7.830357142857143
7, 0.142, 7.785714285714286
8, 0.226, 8.7578125
8, 0.242, 8.75
8, 0.225, 8.703125
8, 0.247, 8.7734375
8, 0.167, 8.7265625
8, 0.151, 8.703125
7, 0.193, 7.767857142857143
8, 0.242, 8.6796875
7, 0.134, 7.714285714285714
8, 0.167, 8.796875
8, 0.167, 8.78125
7, 0.356, 7.785714285714286
8, 0.233, 8.7578125
8, 0.113, 8.84375
8, 0.148, 8.8046875
8, 0.14, 8.6953125
